Model,Land cover,Images,Images with label,Class 0,Class 1,Class 2
RT-DETR,Tree_cover,4258,1790,17,2097,354
RT-DETR,Shrubland,1657,913,4,1604,67
RT-DETR,Grassland,4356,2401,17,3774,143
RT-DETR,Cropland,7524,4036,36,6352,304
RT-DETR,Built-up,4194,1991,12,3169,146
RT-DETR,Bare_/_sparse_vegetation,11920,5703,26,9296,432
RT-DETR,Permanent_water_bodies,9107,1991,10,1911,538
RT-DETR,Herbaceous_wetland,1348,283,2,261,65
YOLO-Worldv2,Tree_cover,4258,405,4,290,133
YOLO-Worldv2,Shrubland,1657,265,1,278,7
YOLO-Worldv2,Grassland,4356,763,5,793,36
YOLO-Worldv2,Cropland,7524,1214,10,1263,50
YOLO-Worldv2,Built-up,4194,605,3,626,25
YOLO-Worldv2,Bare_/_sparse_vegetation,11920,1728,7,1798,66
YOLO-Worldv2,Permanent_water_bodies,9107,325,3,263,72
YOLO-Worldv2,Herbaceous_wetland,1348,45,0,37,9
YOLOv12L,Tree_cover,4258,389,2,320,84
YOLOv12L,Shrubland,1657,203,2,217,10
YOLOv12L,Grassland,4356,511,4,535,15
YOLOv12L,Cropland,7524,817,8,841,40
YOLOv12L,Built-up,4194,434,5,447,21
YOLOv12L,Bare_/_sparse_vegetation,11920,1314,9,1375,77
YOLOv12L,Permanent_water_bodies,9107,235,0,139,106
YOLOv12L,Herbaceous_wetland,1348,39,0,30,10
YOLOv11L-OBB,Tree_cover,4258,375,3,282,117
YOLOv11L-OBB,Shrubland,1657,176,3,180,7
YOLOv11L-OBB,Grassland,4356,534,2,537,36
YOLOv11L-OBB,Cropland,7524,876,15,834,82
YOLOv11L-OBB,Built-up,4194,458,9,480,17
YOLOv11L-OBB,Bare_/_sparse_vegetation,11920,1286,16,1323,59
YOLOv11L-OBB,Permanent_water_bodies,9107,234,1,195,43
YOLOv11L-OBB,Herbaceous_wetland,1348,29,0,25,5
